STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
35,1022,1,1988,214
35,1022,1,1987,208
35,1022,1,1997,910
35,1112,1,1989,172
35,1112,1,1990,11
35,1112,1,1988,218
35,1112,1,1996,55
35,1112,1,1987,221
35,1112,1,1995,37
35,1112,1,2003,49
35,1112,1,1986,330
35,1112,1,1991,15
35,1112,1,1992,16
35,1112,1,1993,452
35,1112,1,1985,304
35,1112,1,1997,490
35,1112,1,1998,373
35,1112,1,2004,139
35,1112,1,1999,381
35,1112,1,1984,309
35,1112,1,2002,45
35,1112,1,2001,31
35,1112,1,2000,239
35,1112,1,1994,459
37,1030,1,1984,147
37,1030,1,1985,167
37,1030,1,1986,174
37,1030,1,1987,181
37,1030,1,1988,188
37,1030,1,1989,195
37,1030,1,1990,203
37,1030,1,1991,211
37,1030,1,1992,209
37,1030,1,1993,219
37,1030,1,1994,198
37,1030,1,1995,229
37,1030,1,1996,257
37,1030,1,1997,267
37,1030,1,1998,278
37,1030,1,1999,289
37,1030,1,2000,295
40,4165,1,2006,333
40,4165,1,2007,217
40,1015,1,1978,258
40,1015,1,1979,263
40,1015,1,1980,277
40,1015,1,1981,295
40,1015,1,1982,300
40,1015,1,1983,305
40,1015,1,1984,320
40,1015,1,1985,340
40,1015,1,1986,330
40,1015,1,1987,305
40,1015,1,1988,300
40,1015,1,1989,300
40,1015,1,1990,297
40,1015,1,1991,297
40,1015,1,1992,215
40,1015,1,1993,148
40,1015,1,1994,208
40,1015,1,1995,198
40,1015,1,1996,223
40,1015,1,1997,210
40,1015,1,1998,214
40,1015,1,1999,249
40,1015,1,2000,256
40,1015,1,2001,264
40,1015,1,2002,272
40,1015,1,2003,304
40,1015,1,2004,324
40,1015,1,2005,346
40,1015,1,2006,350
40,1015,1,2007,379
40,1015,1,2008,350
40,1017,1,1981,750
40,1017,1,1982,763
40,1017,1,1983,784
40,1017,1,1984,804
40,1017,1,1985,818
40,1017,1,1986,852
40,1017,1,1987,885
40,1017,1,1988,900
40,1017,1,1989,920
40,1017,1,1990,1218
40,1017,1,1991,1282
40,1017,1,1992,1346
40,1017,1,1993,1149
40,1017,1,1994,1273
40,1017,1,1995,297
40,1017,1,1996,346
40,4165,1,1984,290
40,4165,1,1985,330
40,4165,1,1986,330
40,4165,1,1987,340
40,4165,1,1988,340
40,4165,1,1989,330
40,4165,1,1990,350
40,4165,1,1991,350
40,4165,1,1992,224
40,4165,1,1993,224
40,4165,1,1994,224
40,4165,1,1995,224
40,4165,1,1996,185
40,4165,1,1997,224
40,4165,1,1998,224
40,4165,1,1999,287
40,4165,1,2000,296
40,4165,1,2001,304
40,4165,1,2002,321
40,4165,1,2003,327
40,4165,1,2004,348
40,4165,1,2005,367
45,1008,1,1970,26
45,1008,1,1971,27
45,1008,1,1972,28
45,1008,1,1973,30
